epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1.39464,0.18189,1.01916,0.22225,0.76143,0.86743,0.89617,0.71693,0.42913,0.45585,0.17722,0,0,0
2,1.98765,0.48462,0.81525,0.38491,0.76364,0.86814,0.89601,0.71706,0.43152,0.4571,0.17708,1.1311e-06,1.1311e-06,1.1311e-06
3,2.56092,0.41221,0.9719,0.40603,0.76533,0.87083,0.89566,0.71763,0.42414,0.45359,0.17534,2.14438e-06,2.14438e-06,2.14438e-06
4,3.2121,0.37317,0.7593,0.32522,0.77706,0.85807,0.89359,0.71564,0.4284,0.45673,0.17512,3.03986e-06,3.03986e-06,3.03986e-06
5,4.17103,0.47554,1.18216,0.53463,0.77767,0.85249,0.89349,0.71545,0.42673,0.45358,0.17489,3.81752e-06,3.81752e-06,3.81752e-06
6,5.13447,0.52985,0.76467,0.3438,0.77807,0.85202,0.89342,0.71453,0.4387,0.45454,0.17774,4.47737e-06,4.47737e-06,4.47737e-06
7,6.01644,0.52353,1.0484,0.59803,0.75054,0.83586,0.86277,0.71302,0.43017,0.45381,0.1753,5.01942e-06,5.01942e-06,5.01942e-06
8,6.93759,0.43965,1.32572,0.4119,0.75771,0.82849,0.82178,0.69605,0.44005,0.45244,0.17837,5.44365e-06,5.44365e-06,5.44365e-06
9,7.8887,0.75265,0.98734,0.59428,0.75749,0.82708,0.82055,0.69381,0.44308,0.44739,0.1791,5.75008e-06,5.75008e-06,5.75008e-06
10,8.78532,0.39779,1.22865,0.40586,0.7601,0.82607,0.82062,0.68933,0.45147,0.43985,0.18225,5.9387e-06,5.9387e-06,5.9387e-06
11,14.8408,0.22658,0.44676,0.21114,0.75961,0.82572,0.82142,0.68814,0.46665,0.41711,0.18606,6.0095e-06,6.0095e-06,6.0095e-06
12,15.824,0.16027,0.33671,0.09303,0.75792,0.8257,0.82159,0.68665,0.47244,0.41684,0.18657,5.9625e-06,5.9625e-06,5.9625e-06
13,16.7783,0.17213,0.34565,0.07652,0.75515,0.82662,0.82152,0.68648,0.4717,0.41483,0.18595,5.79768e-06,5.79768e-06,5.79768e-06
14,17.7036,0.19713,0.39763,0.13136,0.75607,0.82677,0.82185,0.68692,0.4676,0.41699,0.1866,5.51505e-06,5.51505e-06,5.51505e-06
15,18.6275,0.13997,0.33687,0.08983,0.75649,0.82645,0.82197,0.68767,0.46731,0.4174,0.18706,5.11462e-06,5.11462e-06,5.11462e-06
16,19.5612,0.38628,0.54631,0.30369,0.75688,0.8257,0.82179,0.68841,0.46775,0.41683,0.18734,4.59638e-06,4.59638e-06,4.59638e-06
17,20.4664,0.34363,0.50641,0.23959,0.7558,0.82519,0.82193,0.68861,0.46842,0.41833,0.18693,3.96032e-06,3.96032e-06,3.96032e-06
18,21.3983,0.13982,0.34776,0.05721,0.74521,0.82152,0.8175,0.68603,0.4704,0.42739,0.18659,3.20646e-06,3.20646e-06,3.20646e-06
19,22.3237,0.15403,0.32633,0.08225,0.75344,0.80604,0.81755,0.67456,0.47222,0.43667,0.1868,2.33478e-06,2.33478e-06,2.33478e-06
20,23.2476,0.35035,0.62504,0.34824,0.72799,0.82762,0.81953,0.67713,0.47455,0.4318,0.18732,1.3453e-06,1.3453e-06,1.3453e-06
