epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3339,1.57569,4.20526,1.30138,0.00287,0.94521,0.46993,0.19924,1.39612,4.04523,1.05808,0.0002,0.0002,0.0002
2,18.9472,1.44465,2.69769,1.15547,0.00287,0.94521,0.17087,0.09541,1.48909,4.27237,1.13987,0.000417921,0.000417921,0.000417921
3,23.3168,1.43155,2.22046,1.18401,0.00279,0.91781,0.10885,0.02564,1.47417,4.33112,1.30645,0.000633664,0.000633664,0.000633664
4,27.6651,1.45105,2.13073,1.22555,0.00242,0.79452,0.01493,0.0046,1.57977,4.33388,1.37402,0.000847229,0.000847229,0.000847229
5,32.2173,1.39425,1.91374,1.18559,0.00242,0.79452,0.00633,0.00316,1.77102,4.50001,1.49755,0.00105862,0.00105862,0.00105862
6,37.4794,1.40303,1.82007,1.21265,0.00171,0.56164,0.03568,0.02489,1.84732,4.71737,1.69083,0.00126782,0.00126782,0.00126782
7,42.4676,1.44301,1.6659,1.24131,0.38323,0.0411,0.03788,0.02213,2.22079,4.83288,2.25693,0.00147486,0.00147486,0.00147486
8,47.3377,1.43635,1.57123,1.24573,0.00057,0.17808,0.00129,0.00068,3.10055,5.61197,4.8315,0.00167971,0.00167971,0.00167971
9,51.9529,1.47164,1.54775,1.26213,0.00097,0.0137,0.00048,0.00022,2.86545,11.8297,3.01531,0.00188238,0.00188238,0.00188238
10,56.4146,1.46156,1.43695,1.26454,0.22543,0.10959,0.07871,0.04027,2.9231,4.3421,2.67537,0.0019109,0.0019109,0.0019109
11,60.9307,1.50623,1.43776,1.28266,0.50008,0.20548,0.21311,0.11053,2.4259,6.85439,2.24257,0.001901,0.001901,0.001901
12,65.2854,1.44125,1.30394,1.25379,0.12992,0.17808,0.08201,0.04287,2.40598,3.42073,2.02523,0.0018911,0.0018911,0.0018911
13,69.7483,1.4263,1.21307,1.2675,0.42597,0.21356,0.20972,0.11955,2.4066,3.27505,2.28933,0.0018812,0.0018812,0.0018812
14,74.1846,1.44077,1.22823,1.2669,0.33555,0.41096,0.3326,0.16546,2.04966,3.02318,1.73693,0.0018713,0.0018713,0.0018713
15,78.5705,1.35322,1.10554,1.20091,0.77781,0.28772,0.3568,0.18777,1.8772,2.86248,1.58779,0.0018614,0.0018614,0.0018614
16,83.0748,1.32203,1.02119,1.19965,0.8698,0.28767,0.36104,0.19375,1.84873,2.84847,1.61919,0.0018515,0.0018515,0.0018515
17,87.4753,1.35817,1.02457,1.20725,0.54168,0.27397,0.28332,0.14836,1.9457,4.33883,1.62112,0.0018416,0.0018416,0.0018416
18,91.8649,1.36296,1.00804,1.21959,0.5942,0.32877,0.3668,0.20067,1.83217,2.62495,1.60381,0.0018317,0.0018317,0.0018317
19,97.3265,1.32662,0.96664,1.20728,0.57772,0.50685,0.49232,0.25297,1.75037,2.70766,1.45075,0.0018218,0.0018218,0.0018218
20,101.691,1.30456,0.9301,1.1865,0.59901,0.49115,0.49475,0.27172,1.79064,2.89751,1.57286,0.0018119,0.0018119,0.0018119
21,106.134,1.29278,0.92567,1.15367,0.57282,0.53273,0.52365,0.27973,1.73777,3.15681,1.44878,0.001802,0.001802,0.001802
