epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.658,2.30811,1.79593,1.85834,0.42713,0.41781,0.36977,0.15927,2.31618,1.60278,1.72307,0.00331858,0.00331858,0.00331858
2,1448.82,1.95223,1.41209,1.54898,0.45336,0.40467,0.3746,0.16481,2.2113,1.84212,1.64413,0.00661899,0.00661899,0.00661899
3,1938.26,1.88423,1.38297,1.49391,0.41561,0.38208,0.32911,0.12617,2.31534,1.91722,1.72304,0.0098864,0.0098864,0.0098864
4,2572.14,1.85881,1.37399,1.47643,0.48711,0.48203,0.45061,0.20067,2.099,1.6368,1.58826,0.0098515,0.0098515,0.0098515
5,3114.71,1.80398,1.31831,1.44117,0.47601,0.48826,0.4624,0.20676,2.07831,1.48439,1.56896,0.009802,0.009802,0.009802
6,3331.59,1.75695,1.26871,1.41744,0.5479,0.54669,0.52635,0.24376,2.01187,1.36804,1.49596,0.0097525,0.0097525,0.0097525
7,159.632,1.7624,1.27103,1.41475,0.49779,0.43328,0.4508,0.21006,1.99999,1.45427,1.56844,0.009703,0.009703,0.009703
8,141.163,1.74421,1.24487,1.39509,0.48553,0.46466,0.47048,0.23202,1.82788,1.30105,1.45262,0.0096535,0.0096535,0.0096535
9,295.361,1.71284,1.22028,1.38772,0.52227,0.50848,0.51223,0.24587,1.831,1.23435,1.44403,0.009604,0.009604,0.009604
10,452.986,1.69659,1.19727,1.36599,0.54365,0.51325,0.53362,0.25529,1.8084,1.16278,1.42505,0.0095545,0.0095545,0.0095545
11,583.5,1.68064,1.18081,1.35638,0.55063,0.45712,0.493,0.23481,1.82209,1.17749,1.43076,0.009505,0.009505,0.009505
12,718.687,1.66631,1.16193,1.34997,0.60391,0.53222,0.5656,0.2785,1.72218,1.11046,1.35552,0.0094555,0.0094555,0.0094555
13,874.173,1.6568,1.14384,1.33178,0.64501,0.5543,0.59106,0.29723,1.72183,1.09992,1.35427,0.009406,0.009406,0.009406
14,1013.81,1.64552,1.13982,1.32708,0.58671,0.57485,0.58026,0.28354,1.71929,1.09217,1.35839,0.0093565,0.0093565,0.0093565
15,1131.47,1.63469,1.13086,1.32978,0.61024,0.5571,0.57935,0.28792,1.71897,1.11025,1.35896,0.009307,0.009307,0.009307
16,1266.94,1.62246,1.11229,1.32012,0.6065,0.52443,0.57178,0.30107,1.57193,1.08828,1.33524,0.0092575,0.0092575,0.0092575
17,2848.81,1.60517,1.0965,1.31237,0.60961,0.56706,0.59824,0.31057,1.55368,1.02021,1.32524,0.009208,0.009208,0.009208
18,2990.6,1.61897,1.10155,1.31697,0.61142,0.52788,0.57489,0.30349,1.52383,1.06997,1.31393,0.0091585,0.0091585,0.0091585
19,3129.75,1.59221,1.07354,1.30486,0.63037,0.50545,0.57931,0.30556,1.52541,1.03665,1.31488,0.009109,0.009109,0.009109
