epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.686,1.74844,3.39652,1.39482,0.42692,0.48031,0.4736,0.28008,1.75452,1.52169,1.12203,0.00332968,0.00332968,0.00332968
2,852.814,1.5662,1.5785,1.2442,0.50537,0.44933,0.4893,0.297,1.68126,1.41728,1.08994,0.00663003,0.00663003,0.00663003
3,419.628,1.60183,1.65326,1.26068,0.45881,0.39238,0.43456,0.22553,1.80236,1.67621,1.17995,0.00989739,0.00989739,0.00989739
4,839.849,1.61693,1.69463,1.27249,0.48783,0.42621,0.46513,0.27155,1.62615,1.32554,1.06866,0.0098515,0.0098515,0.0098515
5,1260.9,1.49302,1.49216,1.20781,0.58883,0.58564,0.60956,0.37745,1.49962,1.18484,0.99065,0.009802,0.009802,0.009802
6,1681.99,1.44754,1.41643,1.18141,0.58696,0.59989,0.62502,0.39394,1.38223,1.06496,0.93902,0.0097525,0.0097525,0.0097525
7,2102.31,1.40093,1.33152,1.15376,0.61064,0.58816,0.62034,0.40999,1.35956,1.03409,0.92522,0.009703,0.009703,0.009703
8,2522.81,1.36621,1.26232,1.14032,0.60954,0.64287,0.64407,0.42542,1.33939,0.98599,0.9092,0.0096535,0.0096535,0.0096535
9,2943.16,1.34763,1.22358,1.1276,0.72972,0.62235,0.65885,0.442,1.30822,0.94548,0.88979,0.009604,0.009604,0.009604
10,3363.76,1.32192,1.19861,1.12366,0.68269,0.63828,0.66503,0.44951,1.28406,0.8948,0.88014,0.0095545,0.0095545,0.0095545
11,3784.21,1.30595,1.16944,1.10853,0.68755,0.68924,0.71338,0.48647,1.25149,0.86359,0.87373,0.009505,0.009505,0.009505
12,4204.67,1.29984,1.15492,1.10412,0.69304,0.68197,0.71648,0.49434,1.24429,0.85522,0.86024,0.0094555,0.0094555,0.0094555
13,4625.09,1.27875,1.12401,1.0952,0.7096,0.68843,0.72673,0.49923,1.2239,0.81384,0.85632,0.009406,0.009406,0.009406
14,5045.71,1.27022,1.10845,1.09607,0.69296,0.72866,0.73794,0.50076,1.22923,0.82022,0.84687,0.0093565,0.0093565,0.0093565
15,5466.2,1.25207,1.08026,1.08642,0.68968,0.70158,0.72697,0.50502,1.20062,0.78882,0.8427,0.009307,0.009307,0.009307
16,5886.92,1.24403,1.07277,1.08733,0.69712,0.71658,0.73441,0.51613,1.16993,0.78051,0.82958,0.0092575,0.0092575,0.0092575
17,6307.32,1.24345,1.07116,1.08326,0.74975,0.69016,0.73897,0.51647,1.17642,0.76764,0.83419,0.009208,0.009208,0.009208
18,6728.56,1.23381,1.0529,1.07687,0.75392,0.70872,0.75489,0.53505,1.16559,0.74598,0.82595,0.0091585,0.0091585,0.0091585
19,7149.13,1.22887,1.0334,1.07205,0.75027,0.71436,0.75551,0.52893,1.16257,0.74696,0.82424,0.009109,0.009109,0.009109
20,7569.84,1.22324,1.04036,1.07186,0.77274,0.70105,0.75157,0.53395,1.15359,0.7275,0.82234,0.0090595,0.0090595,0.0090595
21,7993.13,1.21668,1.01678,1.07034,0.71886,0.72812,0.74992,0.53019,1.15294,0.72373,0.8192,0.00901,0.00901,0.00901
22,8413.58,1.20623,1.01561,1.06697,0.74251,0.75437,0.78141,0.55158,1.14634,0.71603,0.81699,0.0089605,0.0089605,0.0089605
23,8833.82,1.2,1.00588,1.05722,0.73603,0.72945,0.76165,0.53999,1.14217,0.71262,0.81463,0.008911,0.008911,0.008911
24,9254.16,1.19712,0.99501,1.05777,0.73663,0.72951,0.75512,0.53916,1.13901,0.70502,0.816,0.0088615,0.0088615,0.0088615
25,9674.14,1.20399,0.99533,1.06212,0.73071,0.72326,0.75735,0.54216,1.13026,0.69728,0.81478,0.008812,0.008812,0.008812
26,10094.6,1.19862,0.9841,1.0597,0.8101,0.71166,0.76054,0.54635,1.12733,0.69081,0.81153,0.0087625,0.0087625,0.0087625
27,10514.7,1.19361,0.98831,1.05482,0.74072,0.72343,0.76455,0.55116,1.12229,0.68582,0.80996,0.008713,0.008713,0.008713
28,10935.3,1.19701,0.98097,1.05549,0.73323,0.72939,0.76521,0.55359,1.11852,0.68579,0.80895,0.0086635,0.0086635,0.0086635
29,11355.6,1.19415,0.97222,1.05334,0.73151,0.75141,0.77972,0.56676,1.11739,0.68309,0.80648,0.008614,0.008614,0.008614
30,11776,1.18073,0.95623,1.05112,0.7283,0.75324,0.78001,0.56861,1.11633,0.67889,0.80506,0.0085645,0.0085645,0.0085645
31,12196.3,1.18111,0.95867,1.04968,0.72363,0.75199,0.77606,0.56437,1.11456,0.67685,0.80453,0.008515,0.008515,0.008515
32,12616.6,1.17501,0.95287,1.04579,0.73474,0.77095,0.79138,0.57293,1.11361,0.67499,0.80335,0.0084655,0.0084655,0.0084655
33,13036.9,1.17128,0.94515,1.04684,0.72562,0.77208,0.79144,0.57358,1.1123,0.67196,0.80277,0.008416,0.008416,0.008416
34,13457.4,1.17173,0.94971,1.05046,0.72907,0.77399,0.78866,0.57309,1.11081,0.67137,0.80222,0.0083665,0.0083665,0.0083665
35,13877.3,1.16874,0.9436,1.04042,0.72694,0.77205,0.78843,0.57352,1.10862,0.66949,0.80127,0.008317,0.008317,0.008317
36,14297.9,1.1553,0.92777,1.04326,0.72901,0.77761,0.79066,0.57641,1.10701,0.66741,0.80036,0.0082675,0.0082675,0.0082675
37,14718.1,1.16557,0.93036,1.04464,0.73296,0.77744,0.7909,0.57953,1.10582,0.6658,0.80031,0.008218,0.008218,0.008218
38,15138.5,1.15927,0.92661,1.04018,0.73479,0.77705,0.79173,0.57935,1.10502,0.66467,0.79998,0.0081685,0.0081685,0.0081685
39,15558.7,1.15638,0.92925,1.04596,0.73235,0.78183,0.79373,0.58006,1.10428,0.66332,0.79967,0.008119,0.008119,0.008119
40,15979.3,1.15219,0.91638,1.0446,0.73565,0.78349,0.79402,0.58137,1.10281,0.66213,0.7993,0.0080695,0.0080695,0.0080695
41,16399.6,1.14994,0.90865,1.03573,0.73644,0.78818,0.79491,0.57989,1.10172,0.66081,0.79893,0.00802,0.00802,0.00802
42,16820.2,1.14964,0.91717,1.03608,0.73694,0.79016,0.79658,0.5829,1.10091,0.65987,0.79871,0.0079705,0.0079705,0.0079705
43,17240.4,1.15937,0.91661,1.04036,0.73561,0.79008,0.7961,0.58315,1.09965,0.65895,0.79822,0.007921,0.007921,0.007921
44,17661,1.14038,0.89923,1.03391,0.73739,0.79006,0.79603,0.58362,1.09873,0.65779,0.79788,0.0078715,0.0078715,0.0078715
45,18081.3,1.15047,0.91267,1.03988,0.73342,0.78695,0.79427,0.5825,1.09798,0.65689,0.79756,0.007822,0.007822,0.007822
46,18501.8,1.14276,0.90574,1.03664,0.73541,0.78716,0.79463,0.58274,1.0972,0.65617,0.79695,0.0077725,0.0077725,0.0077725
47,18922.2,1.14057,0.89377,1.03655,0.73498,0.78706,0.7947,0.58204,1.09708,0.65493,0.7967,0.007723,0.007723,0.007723
48,19342.6,1.14864,0.90349,1.03723,0.73877,0.7857,0.79454,0.58172,1.0972,0.65406,0.7967,0.0076735,0.0076735,0.0076735
49,19762.6,1.13452,0.8879,1.02928,0.74269,0.78512,0.79585,0.58355,1.09654,0.65333,0.79662,0.007624,0.007624,0.007624
50,20183.1,1.1449,0.89382,1.03048,0.74444,0.78474,0.79617,0.58353,1.09624,0.65227,0.79645,0.0075745,0.0075745,0.0075745
51,20603.2,1.14132,0.88754,1.02958,0.74153,0.78588,0.79711,0.58475,1.09553,0.65162,0.79641,0.007525,0.007525,0.007525
