epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,465.962,1.96396,5.0995,1.47418,0.40971,0.20722,0.18634,0.07131,2.11547,5.22437,1.59096,0.0700688,0.00332569,0.00332569
2,910.143,1.82001,3.84497,1.38758,0.57555,0.15628,0.15285,0.05453,2.17896,6.55527,1.51775,0.0400282,0.00661844,0.00661844
3,1342.23,1.774,3.71535,1.37185,0.53075,0.17934,0.18998,0.07825,2.10675,6.75653,1.42855,0.00982672,0.00975027,0.00975027
4,1753.32,1.73552,3.56071,1.34835,0.55317,0.22633,0.23221,0.08947,2.11884,4.39472,1.39621,0.00946048,0.00946048,0.00946048
5,2164.21,1.69149,3.39452,1.32361,0.51623,0.27774,0.25434,0.1139,1.94324,3.7219,1.29312,0.00905463,0.00905463,0.00905463
6,2587.34,1.65359,3.24986,1.3043,0.35496,0.21942,0.17862,0.06837,2.34987,5.6995,1.56357,0.00855018,0.00855018,0.00855018
7,3039.48,1.63852,3.18738,1.29592,0.48439,0.26717,0.26832,0.12168,1.98057,3.87018,1.31926,0.00795954,0.00795954,0.00795954
8,3472.01,1.58848,3.06721,1.27137,0.41514,0.34644,0.32686,0.15487,1.77659,3.13891,1.17229,0.00729725,0.00729725,0.00729725
9,3902.49,1.54216,2.93331,1.2496,0.46068,0.36046,0.32703,0.14841,1.80756,3.2035,1.19597,0.00657963,0.00657963,0.00657963
10,4341.98,1.52466,2.85173,1.2373,0.46029,0.36115,0.35482,0.17119,1.77131,3.05594,1.15512,0.00582435,0.00582435,0.00582435
11,4707.71,1.81177,3.33925,1.277,0.58994,0.35994,0.35515,0.178,1.73184,2.85937,1.13804,0.00505,0.00505,0.00505
12,5044.36,1.71219,2.9959,1.21768,0.58281,0.42198,0.41699,0.21721,1.62947,2.66455,1.07735,0.00427565,0.00427565,0.00427565
13,5402.26,1.63088,2.79847,1.18694,0.66236,0.41177,0.43029,0.22667,1.56585,2.45008,1.03203,0.00352037,0.00352037,0.00352037
14,5758.79,1.56392,2.5888,1.15122,0.6852,0.43704,0.46774,0.25824,1.51647,2.31399,0.99871,0.00280275,0.00280275,0.00280275
15,6132.9,1.5071,2.44214,1.12146,0.65595,0.4589,0.49835,0.28111,1.4831,2.20023,0.98568,0.00214046,0.00214046,0.00214046
16,6500.41,1.44989,2.33144,1.09645,0.66433,0.46953,0.49685,0.28077,1.47554,2.14483,0.97023,0.00154982,0.00154982,0.00154982
17,6853.69,1.39953,2.20901,1.07615,0.69096,0.48032,0.5078,0.28972,1.50223,2.15627,0.97087,0.00104537,0.00104537,0.00104537
18,7211.09,1.34907,2.09357,1.05835,0.71492,0.48024,0.53125,0.30694,1.47363,2.08975,0.95544,0.000639518,0.000639518,0.000639518
19,7564.31,1.32331,2.03624,1.04712,0.68304,0.49478,0.52945,0.30404,1.48411,2.08447,0.95527,0.00034227,0.00034227,0.00034227
20,7904.62,1.3012,1.98565,1.04435,0.71145,0.50209,0.53891,0.30907,1.46634,2.04999,0.94851,0.000160943,0.000160943,0.000160943
